Time, h	Frequency, MHz	Temperature, K
0.0	147.0	251.63557806780173
0.0	147.1	250.50963777282294
0.0	147.2	249.17125115187127
0.0	147.29999999999998	248.28130703859208
0.0	147.39999999999998	247.33373984301684
0.0	147.49999999999997	245.97318056485736
0.0	147.59999999999997	244.3665077800098
0.0	147.69999999999996	242.83932270341498
0.0	147.79999999999995	241.6670664158714
0.0	147.89999999999995	240.5824927993884
0.0	147.99999999999994	239.29510819676017
0.0	148.09999999999994	237.6960169895148
0.0	148.19999999999993	236.12122659051803
0.0	148.29999999999993	234.3606147164195
0.0	148.39999999999992	232.44055483960065
0.0	148.49999999999991	230.75802850572563
0.0	148.5999999999999	229.74231521557732
0.0	148.6999999999999	229.31539728431014
0.0	148.7999999999999	229.76486302075534
0.0	148.8999999999999	229.58844083872023
0.0	148.9999999999999	228.79228374875152
0.0	149.09999999999988	228.73879471378982
0.0	149.19999999999987	229.1174264890437
0.0	149.29999999999987	229.07782775445165
0.0	149.39999999999986	228.47723326943097
0.0	149.49999999999986	227.22188678082088
0.0	149.59999999999985	225.40507561301627
0.0	149.69999999999985	224.04865524910045
0.0	149.79999999999984	223.26269658357734
0.0	149.89999999999984	222.4173491620692
0.0	149.99999999999983	221.71265664465162
0.0	150.09999999999982	221.21047295821703
0.0	150.19999999999982	220.44275256579385
0.0	150.2999999999998	219.75186358629384
0.0	150.3999999999998	219.5297841279804
0.0	150.4999999999998	219.26664461682014
0.0	150.5999999999998	218.57371422143382
0.0	150.6999999999998	217.4534395354545
0.0	150.79999999999978	216.30164323555388
0.0	150.89999999999978	214.9368043798872
0.0	150.99999999999977	213.1333869105202
0.0	151.09999999999977	210.94320271958864
0.0	151.19999999999976	209.03013930768776
0.0	151.29999999999976	207.66892385637018
0.0	151.39999999999975	206.38420147507054
0.0	151.49999999999974	204.88369441742233
0.0	151.59999999999974	202.93812517345472
0.0	151.69999999999973	200.92347884727369
0.0	151.79999999999973	199.4538255616186
0.0	151.89999999999972	199.1117332751464
0.0	151.99999999999972	199.44081808398752
0.0	152.0999999999997	199.98594900077737
0.0	152.1999999999997	200.46526946808473
0.0	152.2999999999997	200.4175443928797
0.0	152.3999999999997	199.54051450915262
0.0	152.4999999999997	198.84692999916794
0.0	152.59999999999968	198.93465085468466
0.0	152.69999999999968	199.86920200163138
0.0	152.79999999999967	200.82458670637817
0.0	152.89999999999966	201.07238147845888
0.0	152.99999999999966	200.8325098301697
0.0	153.09999999999965	200.65536568697667
0.0	153.19999999999965	200.18622196826425
0.0	153.29999999999964	198.8488750162477
0.0	153.39999999999964	197.5641932736338
0.0	153.49999999999963	197.05924977744834
0.0	153.59999999999962	196.58160820592386
0.0	153.69999999999962	195.68011447582845
0.0	153.7999999999996	194.22879713593636
0.0	153.8999999999996	193.00737093744738
0.0	153.9999999999996	191.96103459878998
0.0	154.0999999999996	190.14091897202502
0.0	154.1999999999996	188.69770527842763
0.0	154.29999999999959	187.28158807195717
0.0	154.39999999999958	186.30758033773256
0.0	154.49999999999957	185.90414257214664
0.0	154.59999999999957	185.55675260455402
0.0	154.69999999999956	185.31229392996076
