Time, h	Frequency, MHz	Temperature, K
0.0	147.0	259.8601124050079
0.0	147.1	258.1592662782907
0.0	147.2	256.30156757864034
0.0	147.29999999999998	254.70206750792812
0.0	147.39999999999998	253.4444063993843
0.0	147.49999999999997	252.4056690667961
0.0	147.59999999999997	251.54837124360427
0.0	147.69999999999996	250.8747706868697
0.0	147.79999999999995	250.13051379316957
0.0	147.89999999999995	249.14720558791788
0.0	147.99999999999994	248.09086741834537
0.0	148.09999999999994	247.19699595468344
0.0	148.19999999999993	246.44095955553286
0.0	148.29999999999993	245.6325417148653
0.0	148.39999999999992	244.555934043606
0.0	148.49999999999991	243.24755219543366
0.0	148.5999999999999	242.2111604635424
0.0	148.6999999999999	241.68213593294945
0.0	148.7999999999999	241.34267170680118
0.0	148.8999999999999	240.87404911695566
0.0	148.9999999999999	240.4730860803488
0.0	149.09999999999988	240.1847438058148
0.0	149.19999999999987	240.22983033391014
0.0	149.29999999999987	240.43803039371016
0.0	149.39999999999986	240.04084778408495
0.0	149.49999999999986	238.80315470463236
0.0	149.59999999999985	237.23524694919817
0.0	149.69999999999985	235.46036800092978
0.0	149.79999999999984	233.43504666009946
0.0	149.89999999999984	231.61196697484343
0.0	149.99999999999983	230.52770101185936
0.0	150.09999999999982	230.08001679677002
0.0	150.19999999999982	229.75191504670426
0.0	150.2999999999998	229.4605563579624
0.0	150.3999999999998	229.25574270635425
0.0	150.4999999999998	228.66213820370277
0.0	150.5999999999998	227.43280838107015
0.0	150.6999999999998	225.8199156841943
0.0	150.79999999999978	224.18215790759828
0.0	150.89999999999978	222.39286240021883
0.0	150.99999999999977	220.33744366559048
0.0	151.09999999999977	218.06749384376891
0.0	151.19999999999976	216.08419764865658
0.0	151.29999999999976	214.6657712544468
0.0	151.39999999999975	213.47534099904323
0.0	151.49999999999974	212.18402935471667
0.0	151.59999999999974	210.78461089081176
0.0	151.69999999999973	209.43546082053538
0.0	151.79999999999973	208.65602286215486
0.0	151.89999999999972	208.80198244881234
0.0	151.99999999999972	209.40235047594672
0.0	152.0999999999997	209.46089771378084
0.0	152.1999999999997	208.66875698251056
0.0	152.2999999999997	207.52932476745892
0.0	152.3999999999997	206.16342234956406
0.0	152.4999999999997	204.89079386992933
0.0	152.59999999999968	204.30160829261928
0.0	152.69999999999968	204.59258685627015
0.0	152.79999999999967	205.3553416488497
0.0	152.89999999999966	206.144273944438
0.0	152.99999999999966	206.77082507871594
0.0	153.09999999999965	207.19462466946504
0.0	153.19999999999965	207.2298658439497
0.0	153.29999999999964	206.66928006929578
0.0	153.39999999999964	205.90772826195024
0.0	153.49999999999963	205.18932141441695
0.0	153.59999999999962	204.3560989560948
0.0	153.69999999999962	203.41083900497273
0.0	153.7999999999996	202.32864340439698
0.0	153.8999999999996	200.93930751399918
0.0	153.9999999999996	200.24111646063912
0.0	154.0999999999996	200.21584491489978
0.0	154.1999999999996	201.87024865898644
0.0	154.29999999999959	202.1399633439117
0.0	154.39999999999958	199.96138658382745
0.0	154.49999999999957	196.86422265496893
0.0	154.59999999999957	194.89909089546668
0.0	154.69999999999956	193.7295661956742
0.0	154.79999999999956	192.11651309548836
0.0	154.89999999999955	190.32839876361683
0.0	154.99999999999955	189.1785664743688
0.0	155.09999999999954	189.08571554554806
0.0	155.19999999999953	189.72100228409505
0.0	155.29999999999953	190.02363634157615
0.0	155.39999999999952	189.529382917239
0.0	155.49999999999952	188.17590185044963
0.0	155.5999999999995	185.6598695598655
0.0	155.6999999999995	182.93054871310764
0.0	155.7999999999995	181.5626758990427
0.0	155.8999999999995	182.01425262263754
0.0	155.9999999999995	183.56871068339206
0.0	156.09999999999948	184.9220528387798
0.0	156.19999999999948	185.3292196008357
0.0	156.29999999999947	185.27824494405476
0.0	156.39999999999947	185.36048591174702
0.0	156.49999999999946	186.17525812591307
0.0	156.59999999999945	187.1718022623562
0.0	156.69999999999945	187.44512545973146
0.0	156.79999999999944	187.15082667830126
0.0	156.89999999999944	186.61820973418858
0.0	156.99999999999943	185.61271557241002
0.0	157.09999999999943	183.97918391939
0.0	157.19999999999942	182.20091699435986
0.0	157.29999999999941	181.1628583371709
0.0	157.3999999999994	180.31392220180365
0.0	157.4999999999994	178.74508361515998
0.0	157.5999999999994	176.80958103103455
0.0	157.6999999999994	175.6277562249795
0.0	157.7999999999994	175.5606674633203
0.0	157.89999999999938	176.25072403573762
