Time, h	Frequency, MHz	Temperature, K
0.0	147.0	258.7594913292359
0.0	147.1	256.7777897582542
0.0	147.2	254.7009054071057
0.0	147.29999999999998	252.822354740439
0.0	147.39999999999998	251.2605964833306
0.0	147.49999999999997	250.06279849561014
0.0	147.59999999999997	249.23783119273202
0.0	147.69999999999996	248.6757548412673
0.0	147.79999999999995	248.05475989324665
0.0	147.89999999999995	247.17911767306344
0.0	147.99999999999994	246.19672735755523
0.0	148.09999999999994	245.36217018855103
0.0	148.19999999999993	244.68525761433133
0.0	148.29999999999993	243.94722560505798
0.0	148.39999999999992	242.82080167174325
0.0	148.49999999999991	241.29057704768036
0.0	148.5999999999999	239.91783732353483
0.0	148.6999999999999	239.03657201433808
0.0	148.7999999999999	238.33907455612672
0.0	148.8999999999999	237.4774857730189
0.0	148.9999999999999	236.693093883641
0.0	149.09999999999988	236.10859534222436
0.0	149.19999999999987	235.9978764036751
0.0	149.29999999999987	236.14343105650815
0.0	149.39999999999986	235.68341926313227
0.0	149.49999999999986	234.3230296135705
0.0	149.59999999999985	232.597745108499
0.0	149.69999999999985	230.64461879923863
0.0	149.79999999999984	228.482950188169
0.0	149.89999999999984	226.58914750407078
0.0	149.99999999999983	225.38149357549847
0.0	150.09999999999982	224.72514293033402
0.0	150.19999999999982	224.22407933863073
0.0	150.2999999999998	223.76615567011103
0.0	150.3999999999998	223.20789431581898
0.0	150.4999999999998	222.19383799985553
0.0	150.5999999999998	220.80261268708972
0.0	150.6999999999998	219.37292880713176
0.0	150.79999999999978	218.06652439524018
0.0	150.89999999999978	216.54770476684462
0.0	150.99999999999977	214.7166179551186
0.0	151.09999999999977	212.70533946458414
0.0	151.19999999999976	210.96470449931664
0.0	151.29999999999976	209.65826529227212
0.0	151.39999999999975	208.3939523239165
0.0	151.49999999999974	206.90825023913962
0.0	151.59999999999974	205.40555172693004
0.0	151.69999999999973	204.10852091898727
0.0	151.79999999999973	203.42119855160811
0.0	151.89999999999972	203.615477187676
0.0	151.99999999999972	204.19494132228888
0.0	152.0999999999997	204.14393229628598
0.0	152.1999999999997	203.21367056229687
0.0	152.2999999999997	201.9829201955242
0.0	152.3999999999997	200.60830627820062
0.0	152.4999999999997	199.36700271783283
0.0	152.59999999999968	198.79326963993566
0.0	152.69999999999968	199.11292496093034
0.0	152.79999999999967	199.90692529036116
0.0	152.89999999999966	200.69769500738
0.0	152.99999999999966	201.2653850030133
0.0	153.09999999999965	201.56586348298475
0.0	153.19999999999965	201.52283237786463
0.0	153.29999999999964	201.04464885093873
0.0	153.39999999999964	200.47552317903885
0.0	153.49999999999963	199.98829089899826
0.0	153.59999999999962	199.43369524926896
0.0	153.69999999999962	198.83668454424512
0.0	153.7999999999996	198.11467284013327
0.0	153.8999999999996	197.0454873478597
0.0	153.9999999999996	196.43049104668663
0.0	154.0999999999996	196.30417557695202
0.0	154.1999999999996	197.41144098687602
0.0	154.29999999999959	197.57686337053624
0.0	154.39999999999958	196.1374848800693
0.0	154.49999999999957	194.16757317940602
0.0	154.59999999999957	193.0714785295022
0.0	154.69999999999956	192.47368508162313
0.0	154.79999999999956	191.2064010617245
0.0	154.89999999999955	189.39763867978576
0.0	154.99999999999955	188.02768975862773
0.0	155.09999999999954	187.76486907958804
0.0	155.19999999999953	188.29669851599994
0.0	155.29999999999953	188.62479916335892
0.0	155.39999999999952	188.36147389453114
0.0	155.49999999999952	187.3583697405917
0.0	155.5999999999995	185.10152086155742
0.0	155.6999999999995	182.40072174574567
0.0	155.7999999999995	180.97655325453454
0.0	155.8999999999995	181.4150127519216
0.0	155.9999999999995	182.9735257076641
0.0	156.09999999999948	184.4600341427445
0.0	156.19999999999948	185.18627222152207
0.0	156.29999999999947	185.45085429697815
0.0	156.39999999999947	185.74026794042626
0.0	156.49999999999946	186.71483698066297
0.0	156.59999999999945	187.80630124995147
0.0	156.69999999999945	188.02016792973862
0.0	156.79999999999944	187.49942099765448
0.0	156.89999999999944	186.81313925494268
0.0	156.99999999999943	185.74875390001816
0.0	157.09999999999943	184.2049847059307
0.0	157.19999999999942	182.42907608016313
0.0	157.29999999999941	181.2659902243776
0.0	157.3999999999994	180.31435878475875
0.0	157.4999999999994	178.9381500315287
0.0	157.5999999999994	177.39505245238266
0.0	157.6999999999994	176.475726878813
0.0	157.7999999999994	176.4654418270034
0.0	157.89999999999938	177.0795301009647
0.0	157.99999999999937	177.86349246557126
0.0	158.09999999999937	178.37557062988864
0.0	158.19999999999936	178.23222630946748
0.0	158.29999999999936	177.66320885132066
0.0	158.39999999999935	177.45485786651886
0.0	158.49999999999935	177.81686576227153
0.0	158.59999999999934	178.32117715966896
0.0	158.69999999999933	178.26546857060004
0.0	158.79999999999933	177.7291669393936
0.0	158.89999999999932	178.1381625768348
0.0	158.99999999999932	180.08736997008958
0.0	159.0999999999993	181.91696912454412
0.0	159.1999999999993	182.45121744119652
0.0	159.2999999999993	182.6095431076518
0.0	159.3999999999993	183.09336440874847
0.0	159.4999999999993	183.29315769278833
0.0	159.59999999999928	183.7033268761557
0.0	159.69999999999928	185.32420167362778
0.0	159.79999999999927	187.11613674557975
0.0	159.89999999999927	188.08446937251048
0.0	159.99999999999926	189.30753443221278
0.0	160.09999999999926	191.77835863818078
0.0	160.19999999999925	194.07622489923077
0.0	160.29999999999924	194.55762853315912
0.0	160.39999999999924	192.7648212821245
0.0	160.49999999999923	188.63256812539655
0.0	160.59999999999923	189.5916178077713
0.0	160.69999999999922	193.4536070766153
0.0	160.79999999999922	193.3345758397554
0.0	160.8999999999992	192.21003684086622
0.0	160.9999999999992	192.2544147296418
0.0	161.0999999999992	192.82118577859177
0.0	161.1999999999992	194.50319021768988
0.0	161.2999999999992	195.9985724633948
0.0	161.39999999999918	196.07596858389388
0.0	161.49999999999918	193.79894886322666
0.0	161.59999999999917	191.25443960181417
0.0	161.69999999999916	190.7681149777918
0.0	161.79999999999916	190.6553198513639
0.0	161.89999999999915	190.346554664425
0.0	161.99999999999915	192.27803530838614
0.0	162.09999999999914	195.10568308123578
0.0	162.19999999999914	198.27344703770498
0.0	162.29999999999913	204.7665273398196
0.0	162.39999999999912	215.2608775691989
0.0	162.49999999999912	229.73076920221905
0.0	162.5999999999991	244.77397561516824
0.0	162.6999999999991	260.2109056965125
0.0	162.7999999999991	276.978032112006
0.0	162.8999999999991	305.6023766378273
0.0	162.9999999999991	327.34517563584404
0.08333333333333333	147.0	256.7936198296954
0.08333333333333333	147.1	254.82253255613585
0.08333333333333333	147.2	252.86994058196055
0.08333333333333333	147.29999999999998	251.4010404739169
0.08333333333333333	147.39999999999998	250.46333310496877
0.08333333333333333	147.49999999999997	249.81015604359783
